Country,Cases
Afghanistan,1026
Albania,584
Algeria,2718
Andorra,717
Angola,24
Antigua and Barbuda,23
Argentina,2941
Armenia,1339
Australia,6547
Austria,14795
Azerbaijan,1436
Bahamas,60
Bahrain,1907
Bangladesh,2948
Barbados,75
Belarus,6264
Belgium,39983
Belize,18
Benin,54
Bhutan,5
Bolivia,564
Bosnia and Herzegovina,1309
Botswana,20
Brazil,40743
Brunei,138
Bulgaria,929
Burkina Faso,581
Burma,119
Burundi,5
Cabo Verde,67
Cambodia,122
Cameroon,1163
Canada,37657
Central African Republic,12
Chad,33
Chile,10507
China,83817
Colombia,3977
Congo (Brazzaville),160
Congo (Kinshasa),332
Costa Rica,662
Cote d'Ivoire,847
Croatia,1881
Cuba,1087
Cyprus,772
Czechia,6900
Denmark,7711
Diamond Princess,712
Djibouti,846
Dominica,16
Dominican Republic,4964
Ecuador,10128
Egypt,3333
El Salvador,218
Equatorial Guinea,79
Eritrea,39
Estonia,1535
Eswatini,24
Ethiopia,111
Fiji,18
Finland,3868
France,156480
Gabon,120
Gambia,10
Georgia,402
Germany,147065
Ghana,1042
Greece,2245
Grenada,14
Guatemala,289
Guinea,622
Guinea-Bissau,50
Guyana,65
Haiti,57
Holy See,9
Honduras,477
Hungary,1984
Iceland,1773
India,18539
Indonesia,6760
Iran,83505
Iraq,1574
Ireland,15652
Israel,13713
Italy,181228
Jamaica,223
Japan,10797
Jordan,425
Kazakhstan,1852
Kenya,281
"Korea, South",10674
Kosovo,510
Kuwait,1995
Kyrgyzstan,568
Laos,19
Latvia,739
Lebanon,677
Liberia,99
Libya,51
Liechtenstein,81
Lithuania,1326
Luxembourg,3558
Madagascar,121
Malawi,17
Malaysia,5425
Maldives,69
Mali,246
Malta,431
Mauritania,7
Mauritius,328
Mexico,8261
Moldova,2548
Monaco,94
Mongolia,33
Montenegro,312
Morocco,3046
Mozambique,39
MS Zaandam,9
Namibia,16
Nepal,31
Netherlands,33588
New Zealand,1440
Nicaragua,10
Niger,648
Nigeria,665
North Macedonia,1225
Norway,7156
Oman,1410
Pakistan,8418
Panama,4467
Papua New Guinea,7
Paraguay,208
Peru,16325
Philippines,6459
Poland,9593
Portugal,20863
Qatar,6015
Romania,8936
Russia,47121
Rwanda,147
Saint Kitts and Nevis,15
Saint Lucia,15
Saint Vincent and the Grenadines,12
San Marino,462
Sao Tome and Principe,4
Saudi Arabia,10484
Senegal,377
Serbia,6630
Seychelles,11
Sierra Leone,43
Singapore,8014
Slovakia,1173
Slovenia,1335
Somalia,237
South Africa,3300
South Sudan,4
Spain,200210
Sri Lanka,304
Sudan,107
Suriname,10
Sweden,14777
Switzerland,27944
Syria,39
Taiwan*,422
Tanzania,254
Thailand,2792
Timor-Leste,22
Togo,84
Trinidad and Tobago,114
Tunisia,884
Turkey,90980
Uganda,56
Ukraine,5710
United Arab Emirates,7265
United Kingdom,125856
Uruguay,535
US,784326
Uzbekistan,1627
Venezuela,256
Vietnam,268
West Bank and Gaza,449
Western Sahara,6
Yemen,1
Zambia,65
Zimbabwe,25
